#,Nodes,Routes,Qubits,Status,QAOA_Cost,Optimal_Cost,Gap_Pct,Description
1,"27, 48, 50",3,9,OPTIMAL,3442.40,3442.40,0.000%,Solution found optimally
2,"45, 73",2,4,OPTIMAL,4202.27,4202.27,0.000%,Solution found optimally
3,"-1, -2, -3",3,9,OPTIMAL,3550.42,3550.42,0.000%,Solution found optimally
4,"22, 192",2,4,OPTIMAL,2381.51,2381.51,0.000%,Solution found optimally
5,"35, 122",2,4,OPTIMAL,3075.46,3075.46,0.000%,Solution found optimally
6,"-1, -2, -3",3,9,OPTIMAL,2536.19,2536.19,0.000%,Solution found optimally
7,"68, 91, 93, 181",4,16,OPTIMAL,5147.94,5147.94,0.000%,Solution found optimally
8,"42, 97, 172, 177",4,16,OPTIMAL,4421.26,4421.26,0.000%,Solution found optimally
9,"117, 187",2,4,OPTIMAL,4967.80,4967.80,0.000%,Solution found optimally
10,"-3, -4",2,4,OPTIMAL,4434.47,4434.47,0.000%,Solution found optimally
11,"-1, -2",2,4,OPTIMAL,3245.87,3245.87,0.000%,Solution found optimally
12,"-1, -2, -3",3,9,OPTIMAL,4836.57,4836.57,0.000%,Solution found optimally
13,"29, 184",2,4,OPTIMAL,3692.85,3692.85,0.000%,Solution found optimally
14,"2, 190",2,4,OPTIMAL,4400.06,4400.06,0.000%,Solution found optimally
15,"49, 149, 176, 188",4,16,OPTIMAL,4652.70,4652.70,0.000%,Solution found optimally
16,"53, 126",2,4,OPTIMAL,2825.31,2825.31,0.000%,Solution found optimally
17,"-1, -2, -3, -4",4,16,OPTIMAL,4235.23,4235.23,0.000%,Solution found optimally
18,"8, 100, 144",3,9,OPTIMAL,5175.25,5175.25,0.000%,Solution found optimally
19,"156, 165, 174, 185",4,16,OPTIMAL,4711.98,4711.98,0.000%,Solution found optimally
20,"63, 121, 163",3,9,OPTIMAL,4598.87,4598.87,0.000%,Solution found optimally
21,"43, 109, 186",3,9,OPTIMAL,5851.10,5851.10,0.000%,Solution found optimally
22,"12, 152",2,4,OPTIMAL,4271.72,4271.72,0.000%,Solution found optimally
23,"-1, -2, -3",3,9,OPTIMAL,5477.84,5477.84,0.000%,Solution found optimally
24,"94, 179",2,4,OPTIMAL,3668.24,3668.24,0.000%,Solution found optimally
25,"99, 115",2,4,OPTIMAL,2862.01,2862.01,0.000%,Solution found optimally
26,"5, 25",2,4,OPTIMAL,3040.25,3040.25,0.000%,Solution found optimally
27,"-1, -2, -3",3,9,OPTIMAL,3071.09,3071.09,0.000%,Solution found optimally
28,"-1, -2, -3",3,9,OPTIMAL,3414.79,3414.79,0.000%,Solution found optimally
29,"-1, -2, -3",3,9,OPTIMAL,4559.95,4559.95,0.000%,Solution found optimally
30,"-1, -2, -3",3,9,OPTIMAL,4872.54,4872.54,0.000%,Solution found optimally
31,"28, 142, 193",3,9,OPTIMAL,7631.40,7631.40,0.000%,Solution found optimally
32,"20, 77, 135, 151",4,16,OPTIMAL,7313.68,7313.68,0.000%,Solution found optimally
