#,Nodes,Routes,Qubits,Status,QAOA_Cost,Optimal_Cost,Gap_Pct,Description
33,"104, 106",2,4,OPTIMAL,6336.01,6336.01,0.000%,Solution found optimally
34,"-1, -2, -3, -4",4,16,OPTIMAL,6569.80,6569.80,0.000%,Solution found optimally
35,"111, 146, 166, 173",4,16,OPTIMAL,8547.73,8547.73,0.000%,Solution found optimally
36,"54, 92",2,4,OPTIMAL,8582.85,8582.85,0.000%,Solution found optimally
37,"61, 83, 131, 183",4,16,OPTIMAL,9634.36,9634.36,0.000%,Solution found optimally
38,"-1, -2, -3, -4",4,16,OPTIMAL,11026.67,11026.67,0.000%,Solution found optimally
39,"26, 84",2,4,OPTIMAL,3452.00,3452.00,0.000%,Solution found optimally
40,"81, 120, 133",3,9,OPTIMAL,4871.66,4871.66,0.000%,Solution found optimally
41,"51, 88, 118, 160",4,16,OPTIMAL,2261.86,2261.86,0.000%,Solution found optimally
42,"-1, -2, -3, -4",4,16,OPTIMAL,5637.11,5637.11,0.000%,Solution found optimally
43,"16, 72, 113",3,9,OPTIMAL,11613.17,11613.17,0.000%,Solution found optimally
44,"103, 197",2,4,OPTIMAL,12707.10,12707.10,0.000%,Solution found optimally
45,"41, 74, 125",3,9,OPTIMAL,10477.10,10477.10,0.000%,Solution found optimally
46,"60, 96, 140",3,9,OPTIMAL,8825.48,8825.48,0.000%,Solution found optimally
47,"-1, -2, -3, -4",4,16,OPTIMAL,12251.63,12251.63,0.000%,Solution found optimally
48,"3, 78, 98",3,9,OPTIMAL,4599.06,4599.06,0.000%,Solution found optimally
49,"145, 167",2,4,OPTIMAL,2864.52,2864.52,0.000%,Solution found optimally
50,"130, 139, 143",3,9,OPTIMAL,3425.99,3425.99,0.000%,Solution found optimally
51,"-1, -2, -3",3,9,OPTIMAL,2041.32,2041.32,0.000%,Solution found optimally
52,"58, 132, 182",3,9,OPTIMAL,3615.17,3615.17,0.000%,Solution found optimally
53,"37, 59, 194",3,9,OPTIMAL,3562.79,3562.79,0.000%,Solution found optimally
54,"87, 107",2,4,OPTIMAL,3583.13,3583.13,0.000%,Solution found optimally
55,"-3, -4",2,4,OPTIMAL,3262.15,3262.15,0.000%,Solution found optimally
56,"-1, -5",2,4,OPTIMAL,3462.83,3462.83,0.000%,Solution found optimally
57,"-1, -2, -3",3,9,OPTIMAL,3694.46,3694.46,0.000%,Solution found optimally
58,"116, 155",2,4,OPTIMAL,1060.47,1060.47,0.000%,Solution found optimally
59,"67, 137",2,4,OPTIMAL,1107.10,1107.10,0.000%,Solution found optimally
60,"6, 14, 19, 136",4,16,OPTIMAL,1365.94,1365.94,0.000%,Solution found optimally
61,"66, 86",2,4,OPTIMAL,1971.47,1971.47,0.000%,Solution found optimally
62,"138, 55",2,4,OPTIMAL,2069.18,2069.18,0.000%,Solution found optimally
63,"-1, -2, -3",3,9,OPTIMAL,2030.33,2030.33,0.000%,Solution found optimally
64,"57, 162",2,4,OPTIMAL,1699.19,1699.19,0.000%,Solution found optimally
65,"13, 105",2,4,OPTIMAL,1663.37,1663.37,0.000%,Solution found optimally
66,"-1, -2, -3",3,9,OPTIMAL,2178.75,2178.75,0.000%,Solution found optimally
67,"-2, -3",2,4,OPTIMAL,840.16,840.16,0.000%,Solution found optimally
68,"-4, -5",2,4,OPTIMAL,1875.00,1875.00,0.000%,Solution found optimally
69,"-1, -2, -3",3,9,OPTIMAL,1929.36,1929.36,0.000%,Solution found optimally
70,"21, 101, 119, 189",4,16,OPTIMAL,12795.29,12795.29,0.000%,Solution found optimally
71,"34, 47, 89",3,9,OPTIMAL,5670.49,5670.49,0.000%,Solution found optimally
72,"1, 33, 75, 79",4,16,OPTIMAL,7616.25,7616.25,0.000%,Solution found optimally
73,"31, 95",2,4,OPTIMAL,6968.67,6968.67,0.000%,Solution found optimally
74,"198, 200",2,4,OPTIMAL,6489.98,6489.98,0.000%,Solution found optimally
75,"-1, -2, -3",3,9,OPTIMAL,6786.43,6786.43,0.000%,Solution found optimally
76,"56, 123, 169",3,9,OPTIMAL,5415.98,5415.98,0.000%,Solution found optimally
77,"64, 82, 148",3,9,OPTIMAL,6004.60,6004.60,0.000%,Solution found optimally
78,"-2, -3",2,4,OPTIMAL,7025.88,7025.88,0.000%,Solution found optimally
79,"-1, -5",2,4,OPTIMAL,5531.45,5531.45,0.000%,Solution found optimally
80,"-1, -2, -3",3,9,OPTIMAL,6395.04,6395.04,0.000%,Solution found optimally
81,"15, 52, 147",3,9,OPTIMAL,10018.63,10018.63,0.000%,Solution found optimally
82,"30, 44, 158, 164",4,16,OPTIMAL,4032.21,4032.21,0.000%,Solution found optimally
83,"71, 168",2,4,OPTIMAL,4451.72,4451.72,0.000%,Solution found optimally
84,"17, 23",2,4,OPTIMAL,5226.54,5226.54,0.000%,Solution found optimally
85,"-1, -2, -3",3,9,OPTIMAL,4325.40,4325.40,0.000%,Solution found optimally
86,"62, 170",2,4,OPTIMAL,7886.43,7886.43,0.000%,Solution found optimally
87,"11, 108, 128, 178",4,16,OPTIMAL,6323.60,6323.60,0.000%,Solution found optimally
88,"102, 153, 157, 175",4,16,OPTIMAL,6511.96,6511.96,0.000%,Solution found optimally
89,"-1, -2, -3",3,9,OPTIMAL,6731.48,6731.48,0.000%,Solution found optimally
90,"110, 171",2,4,OPTIMAL,7634.02,7634.02,0.000%,Solution found optimally
91,"85, 196",2,4,OPTIMAL,7372.70,7372.70,0.000%,Solution found optimally
92,"18, 32, 69",3,9,OPTIMAL,7419.70,7419.70,0.000%,Solution found optimally
93,"-1, -2, -3",3,9,OPTIMAL,8085.00,8085.00,0.000%,Solution found optimally
94,"7, 38",2,4,OPTIMAL,5807.67,5807.67,0.000%,Solution found optimally
95,"40, 46, 129, 199",4,16,OPTIMAL,6719.64,6719.64,0.000%,Solution found optimally
96,"-2, -5",2,4,OPTIMAL,6995.66,6995.66,0.000%,Solution found optimally
97,"-1, -3",2,4,OPTIMAL,8735.24,8735.24,0.000%,Solution found optimally
98,"-1, -2, -3",3,9,OPTIMAL,8021.93,8021.93,0.000%,Solution found optimally
99,"90, 112, 150, 161",4,16,OPTIMAL,6553.50,6553.50,0.000%,Solution found optimally
100,"10, 24, 39",3,9,OPTIMAL,5897.74,5897.74,0.000%,Solution found optimally
101,"80, 114",2,4,OPTIMAL,7647.77,7647.77,0.000%,Solution found optimally
102,"191, 195",2,4,OPTIMAL,7330.38,7330.38,0.000%,Solution found optimally
103,"-1, -2, -3, -4",4,16,OPTIMAL,7082.12,7082.12,0.000%,Solution found optimally
104,"-12, -13",2,4,OPTIMAL,7065.77,7065.77,0.000%,Solution found optimally
105,"-6, -8",2,4,OPTIMAL,4025.04,4025.04,0.000%,Solution found optimally
106,"-1, -3",2,4,OPTIMAL,4648.47,4648.47,0.000%,Solution found optimally
107,"-1, -2, -3",3,12,OPTIMAL,5055.05,5055.05,0.000%,Solution found optimally
108,"-1, -3, -9",3,9,OPTIMAL,4710.82,4710.82,0.000%,Solution found optimally
109,"-2, -4, -10, -11",4,20,FEASIBLE,13952.99,13837.38,0.836%,Valid solution (not proven optimal)
110,"-5, -7, -14, -15",4,20,OPTIMAL,16962.64,16962.64,-0.000%,Solution found optimally

SUMMARY STATISTICS
Metric,Value,Percentage
Total Solver Calls,110,100.0%
Optimal Solutions,109,99.1%
Feasible Solutions,1,0.9%
No Valid Solution,0,0.0%
