#,Nodes,Routes,Qubits,Status,QAOA_Cost,Optimal_Cost,Gap_Pct,Description
1,"6, 26, 48",3,9,OPTIMAL,3636.47,3636.47,0.000%,Solution found optimally
2,"10, 29",2,4,OPTIMAL,4060.79,4060.79,0.000%,Solution found optimally
3,"5, 34, 45",3,9,OPTIMAL,4392.07,4392.07,0.000%,Solution found optimally
4,"-1, -2, -3",3,9,OPTIMAL,4723.43,4723.43,0.000%,Solution found optimally
5,"9, 36",2,4,OPTIMAL,10165.78,10165.78,0.000%,Solution found optimally
6,"20, 47",2,4,OPTIMAL,4518.42,4518.42,0.000%,Solution found optimally
7,"30, 41",2,4,OPTIMAL,3245.41,3245.41,0.000%,Solution found optimally
8,"8, 17",2,4,OPTIMAL,1869.83,1869.83,0.000%,Solution found optimally
9,"-1, -2, -3",3,9,OPTIMAL,3200.70,3200.70,0.000%,Solution found optimally
10,"4, 11, 18",3,9,OPTIMAL,4160.38,4160.38,0.000%,Solution found optimally
11,"7, 35",2,4,OPTIMAL,6535.35,6535.35,0.000%,Solution found optimally
12,"-1, -2, -3",3,9,OPTIMAL,5900.72,5900.72,0.000%,Solution found optimally
13,"1, 25, 32",3,9,OPTIMAL,6653.20,6653.20,0.000%,Solution found optimally
14,"12, 28",2,4,OPTIMAL,3564.27,3564.27,0.000%,Solution found optimally
15,"16, 38, 23",3,9,OPTIMAL,3192.78,3192.78,0.000%,Solution found optimally
16,"-1, -2, -3",3,9,OPTIMAL,4964.75,4964.75,0.000%,Solution found optimally
17,"19, 31, 49",3,9,OPTIMAL,2756.58,2756.58,0.000%,Solution found optimally
18,"40, 2",2,4,OPTIMAL,4177.03,4177.03,0.000%,Solution found optimally
19,"39, 43",2,4,OPTIMAL,4020.37,4020.37,0.000%,Solution found optimally
20,"-1, -2, -3",3,9,OPTIMAL,3703.63,3703.63,0.000%,Solution found optimally
21,"3, 15",2,4,OPTIMAL,6037.03,6037.03,0.000%,Solution found optimally
22,"37, 42",2,4,OPTIMAL,4668.59,4668.59,0.000%,Solution found optimally
23,"33, 50",2,4,OPTIMAL,4221.17,4221.17,0.000%,Solution found optimally
24,"-1, -2, -3",3,9,OPTIMAL,5673.39,5673.39,0.000%,Solution found optimally
25,"21, 22, 44",3,9,OPTIMAL,7619.87,7619.87,0.000%,Solution found optimally
26,"13, 24, 27",3,9,OPTIMAL,9451.08,9451.08,0.000%,Solution found optimally
27,"-1, -2, -3",3,9,OPTIMAL,13050.16,13050.16,0.000%,Solution found optimally
28,"-1, -3, -5, -6",4,20,OPTIMAL,8276.14,8276.14,0.000%,Solution found optimally
29,"-4, -7",2,6,OPTIMAL,8913.41,8913.41,0.000%,Solution found optimally
30,"-2, -8",2,6,OPTIMAL,15021.64,15021.64,0.000%,Solution found optimally

SUMMARY STATISTICS
Metric,Value,Percentage
Total Solver Calls,30,100.0%
Optimal Solutions,30,100.0%
Feasible Solutions,0,0.0%
No Valid Solution,0,0.0%
