#,Nodes,Routes,Qubits,Status,QAOA_Cost,Optimal_Cost,Gap_Pct,Description
1,"14, 38, 86",3,9,OPTIMAL,4357.83,4357.83,0.000%,Solution found optimally
2,"20, 23, 81",3,9,OPTIMAL,5601.43,5601.43,0.000%,Solution found optimally
3,"9, 99",2,4,OPTIMAL,4888.99,4888.99,0.000%,Solution found optimally
4,"12, 64",2,4,OPTIMAL,5514.41,5514.41,0.000%,Solution found optimally
5,"-1, -2, -3, -4",4,16,OPTIMAL,6332.75,6332.75,0.000%,Solution found optimally
6,"2, 47",2,4,OPTIMAL,6492.51,6492.51,0.000%,Solution found optimally
7,"1, 68",2,4,OPTIMAL,6950.20,6950.20,0.000%,Solution found optimally
8,"-1, -2, -3",3,9,OPTIMAL,6815.82,6815.82,0.000%,Solution found optimally
9,"17, 39, 70, 82",4,16,FEASIBLE,6123.89,6123.89,0.000%,Valid solution (not proven optimal)
10,"18, 53, 50",3,9,OPTIMAL,4180.71,4180.71,0.000%,Solution found optimally
11,"21, 16, 15, 52",4,16,OPTIMAL,4496.71,4496.71,0.000%,Solution found optimally
12,"-1, -2, -3, -4",4,16,OPTIMAL,6289.49,6289.49,0.000%,Solution found optimally
13,"33, 59",2,4,OPTIMAL,4821.74,4821.74,0.000%,Solution found optimally
14,"25, 40",2,4,OPTIMAL,4173.92,4173.92,0.000%,Solution found optimally
15,"83, 100",2,4,OPTIMAL,4312.73,4312.73,0.000%,Solution found optimally
16,"58, 78",2,4,OPTIMAL,3656.76,3656.76,0.000%,Solution found optimally
17,"-1, -2, -3",3,9,OPTIMAL,4303.68,4303.68,0.000%,Solution found optimally
18,"32, 85",2,4,OPTIMAL,5486.14,5486.14,0.000%,Solution found optimally
19,"-1, -2, -3, -4",4,16,OPTIMAL,5506.62,5506.62,0.000%,Solution found optimally
20,"46, 65",2,4,OPTIMAL,2993.43,2993.43,0.000%,Solution found optimally
21,"51, 94",2,4,OPTIMAL,2415.58,2415.58,0.000%,Solution found optimally
22,"24, 75, 92",3,9,OPTIMAL,3684.02,3684.02,0.000%,Solution found optimally
23,"29, 36, 89",3,9,OPTIMAL,2414.06,2414.06,0.000%,Solution found optimally
24,"-1, -2, -3, -4",4,16,OPTIMAL,3664.36,3664.36,0.000%,Solution found optimally
25,"27, 28, 43, 98",4,16,OPTIMAL,13971.41,13971.41,0.000%,Solution found optimally
26,"3, 88",2,4,OPTIMAL,7175.70,7175.70,0.000%,Solution found optimally
27,"26, 84, 90",3,9,OPTIMAL,8368.77,8368.77,0.000%,Solution found optimally
28,"-1, -2, -3",3,9,OPTIMAL,7032.69,7032.69,0.000%,Solution found optimally
29,"79, 95, 96",3,9,OPTIMAL,7582.47,7582.47,0.000%,Solution found optimally
30,"41, 72, 97",3,9,OPTIMAL,6686.41,6686.41,0.000%,Solution found optimally
31,"80, 91",2,4,OPTIMAL,6654.92,6654.92,0.000%,Solution found optimally
32,"56, 77, 87",3,9,OPTIMAL,8915.31,8915.31,0.000%,Solution found optimally
33,"-1, -2, -3, -4",4,16,OPTIMAL,8799.62,8799.62,0.000%,Solution found optimally
34,"4, 55",2,4,OPTIMAL,9257.53,9257.53,0.000%,Solution found optimally
35,"7, 37",2,4,OPTIMAL,8395.80,8395.80,0.000%,Solution found optimally
36,"-1, -2, -3",3,9,OPTIMAL,12362.71,12362.71,0.000%,Solution found optimally
37,"6, 11, 57",3,9,OPTIMAL,8977.03,8977.03,0.000%,Solution found optimally
38,"8, 31",2,4,OPTIMAL,8615.72,8615.72,0.000%,Solution found optimally
39,"42, 54",2,4,OPTIMAL,11415.24,11415.24,0.000%,Solution found optimally
40,"-1, -2, -3, -4",4,16,OPTIMAL,13112.78,13112.78,0.000%,Solution found optimally
41,"19, 69",2,4,OPTIMAL,2400.89,2400.89,0.000%,Solution found optimally
42,"45, 61, 63",3,9,OPTIMAL,4324.49,4324.49,0.000%,Solution found optimally
43,"44, 48, 60, 93",4,16,OPTIMAL,1922.43,1922.43,0.000%,Solution found optimally
44,"-1, -2, -3, -4",4,16,OPTIMAL,4388.76,4388.76,0.000%,Solution found optimally
45,"34, 66, 73",3,9,OPTIMAL,2343.84,2343.84,0.000%,Solution found optimally
46,"5, 62, 67",3,9,OPTIMAL,1576.00,1576.00,0.000%,Solution found optimally
47,"10, 22, 49",3,9,OPTIMAL,3844.38,3844.38,0.000%,Solution found optimally
48,"-1, -2, -3, -4",4,16,OPTIMAL,4246.14,4246.14,0.000%,Solution found optimally
49,"-1, -4, -9, -10",4,20,OPTIMAL,8007.02,8007.02,0.000%,Solution found optimally
50,"-2, -5",2,6,OPTIMAL,12317.24,12317.24,0.000%,Solution found optimally
51,"-3, -6",2,4,OPTIMAL,6261.81,6261.81,0.000%,Solution found optimally
52,"-7, -8",2,4,OPTIMAL,9316.08,9316.08,0.000%,Solution found optimally

SUMMARY STATISTICS
Metric,Value,Percentage
Total Solver Calls,52,100.0%
Optimal Solutions,51,98.1%
Feasible Solutions,1,1.9%
No Valid Solution,0,0.0%
