#,Nodes,Routes,Qubits,Status,QAOA_Cost,Optimal_Cost,Gap_Pct,Description
1,"21, 35, 36",3,9,OPTIMAL,9731.98,9731.98,0.000%,Solution found optimally
2,"30, 44",2,4,OPTIMAL,10937.68,10937.68,0.000%,Solution found optimally
3,"-1, -2, -3",3,9,OPTIMAL,12029.54,12029.54,0.000%,Solution found optimally
4,"29, 33, 38",3,9,OPTIMAL,7351.00,7351.00,0.000%,Solution found optimally
5,"19, 43",2,4,OPTIMAL,8554.01,8554.01,0.000%,Solution found optimally
6,"-1, -2, -3",3,9,OPTIMAL,7805.03,7805.03,0.000%,Solution found optimally
7,"18, 23",2,4,OPTIMAL,5999.49,5999.49,0.000%,Solution found optimally
8,"28, 32, 37, 49",4,16,OPTIMAL,4282.67,4282.67,0.000%,Solution found optimally
9,"-1, -2, -3",3,9,OPTIMAL,5279.01,5279.01,0.000%,Solution found optimally
10,"26, 31",2,4,OPTIMAL,4306.38,4306.38,0.000%,Solution found optimally
11,"7, 22",2,4,OPTIMAL,4384.45,4384.45,0.000%,Solution found optimally
12,"-1, -2, -3",3,9,OPTIMAL,5007.54,5007.54,0.000%,Solution found optimally
13,"8, 13",2,4,OPTIMAL,1941.69,1941.69,0.000%,Solution found optimally
14,"11, 17, 48",3,9,OPTIMAL,3305.20,3305.20,0.000%,Solution found optimally
15,"-1, -2, -3",3,9,OPTIMAL,3538.20,3538.20,0.000%,Solution found optimally
16,"5, 10, 34, 45",4,16,OPTIMAL,6240.96,6240.96,0.000%,Solution found optimally
17,"25, 27, 40",3,9,OPTIMAL,13065.72,13065.72,0.000%,Solution found optimally
18,"-1, -2, -3",3,9,OPTIMAL,8191.91,8191.91,0.000%,Solution found optimally
19,"15, 42, 46",3,9,OPTIMAL,5306.80,5306.80,0.000%,Solution found optimally
20,"1, 24, 50",3,9,OPTIMAL,7650.90,7650.90,0.000%,Solution found optimally
21,"-1, -2, -3",3,9,OPTIMAL,9671.30,9671.30,0.000%,Solution found optimally
22,"3, 6, 12",3,9,OPTIMAL,4374.82,4374.82,0.000%,Solution found optimally
23,"-1, -2, -3",3,9,OPTIMAL,3552.42,3552.42,0.000%,Solution found optimally
24,"-3, -7, -8",3,12,OPTIMAL,8214.19,8214.19,0.000%,Solution found optimally
25,"-4, -5, -6",3,12,OPTIMAL,11938.34,11938.34,0.000%,Solution found optimally
26,"-1, -2",2,6,OPTIMAL,15421.25,15421.25,0.000%,Solution found optimally

SUMMARY STATISTICS
Metric,Value,Percentage
Total Solver Calls,26,100.0%
Optimal Solutions,26,100.0%
Feasible Solutions,0,0.0%
No Valid Solution,0,0.0%
