#,Nodes,Routes,Qubits,Status,QAOA_Cost,Optimal_Cost,Gap_Pct,Description
1,"172, 173, 188",3,9,OPTIMAL,2744.67,2744.67,0.000%,Solution found optimally
2,"99, 148",2,4,OPTIMAL,2734.43,2734.43,0.000%,Solution found optimally
3,"31, 44, 109",3,9,OPTIMAL,3184.88,3184.88,0.000%,Solution found optimally
4,"89, 107, 116",3,9,OPTIMAL,1840.17,1840.17,0.000%,Solution found optimally
5,"-1, -2, -3, -4",4,16,FEASIBLE,3061.01,2958.74,3.456%,Valid solution (not proven optimal)
6,"66, 90, 190",3,9,OPTIMAL,7860.31,7860.31,0.000%,Solution found optimally
7,"105, 117",2,4,OPTIMAL,7813.30,7813.30,0.000%,Solution found optimally
8,"-1, -2, -3",3,9,OPTIMAL,8225.41,8225.41,0.000%,Solution found optimally
9,"4, 13, 86",3,9,OPTIMAL,7636.72,7636.72,0.000%,Solution found optimally
10,"103, 118, 174",3,9,OPTIMAL,6951.75,6951.75,0.000%,Solution found optimally
11,"24, 81, 97, 166",4,16,OPTIMAL,5870.56,5870.56,0.000%,Solution found optimally
12,"2, 11, 115",3,9,OPTIMAL,7214.10,7214.10,0.000%,Solution found optimally
13,"-1, -2, -3",3,9,OPTIMAL,7364.46,7364.46,0.000%,Solution found optimally
14,"-1, -2",2,4,OPTIMAL,7796.81,7796.81,0.000%,Solution found optimally
15,"-3, -4",2,4,OPTIMAL,6600.67,6600.67,0.000%,Solution found optimally
16,"-1, -2, -3",3,9,OPTIMAL,7868.94,7868.94,0.000%,Solution found optimally
17,"15, 55, 92",3,9,OPTIMAL,4512.68,4512.68,0.000%,Solution found optimally
18,"3, 124, 189",3,9,OPTIMAL,3228.80,3228.80,0.000%,Solution found optimally
19,"-1, -2, -3",3,9,OPTIMAL,2781.67,2781.67,0.000%,Solution found optimally
20,"88, 112",2,4,OPTIMAL,4091.12,4091.12,0.000%,Solution found optimally
21,"54, 93",2,4,OPTIMAL,3630.20,3630.20,0.000%,Solution found optimally
22,"34, 155",2,4,OPTIMAL,4244.20,4244.20,0.000%,Solution found optimally
23,"-1, -2, -3",3,9,OPTIMAL,3898.32,3898.32,0.000%,Solution found optimally
24,"83, 87, 91",3,9,OPTIMAL,1902.25,1902.25,0.000%,Solution found optimally
25,"-2, -5",2,4,OPTIMAL,3083.28,3083.28,0.000%,Solution found optimally
26,"-1, -3",2,4,OPTIMAL,3739.60,3739.60,0.000%,Solution found optimally
27,"-1, -2, -3",3,9,OPTIMAL,3579.67,3579.67,0.000%,Solution found optimally
28,"139, 152",2,4,OPTIMAL,5613.51,5613.51,0.000%,Solution found optimally
29,"8, 52, 134, 178",4,16,OPTIMAL,5014.25,5014.25,0.000%,Solution found optimally
30,"12, 73, 102, 195",4,16,OPTIMAL,6305.14,6305.14,0.000%,Solution found optimally
31,"23, 84, 122, 164",4,16,OPTIMAL,4721.63,4721.63,0.000%,Solution found optimally
32,"-1, -2, -3, -4",4,16,OPTIMAL,5933.56,5933.56,0.000%,Solution found optimally
33,"61, 160",2,4,OPTIMAL,6617.29,6617.29,0.000%,Solution found optimally
34,"75, 149, 161, 162",4,16,OPTIMAL,5036.14,5036.14,0.000%,Solution found optimally
35,"85, 127, 200",3,9,OPTIMAL,6960.77,6960.77,0.000%,Solution found optimally
36,"-1, -2, -3, -4",4,16,OPTIMAL,6076.70,6076.70,0.000%,Solution found optimally
37,"69, 100, 111, 120",4,16,OPTIMAL,4080.13,4080.13,0.000%,Solution found optimally
38,"70, 133",2,4,OPTIMAL,2667.10,2667.10,0.000%,Solution found optimally
39,"28, 49, 53, 165",4,16,OPTIMAL,4775.06,4775.06,0.000%,Solution found optimally
40,"14, 47",2,4,OPTIMAL,3378.37,3378.37,0.000%,Solution found optimally
41,"-1, -2, -3, -4",4,16,OPTIMAL,3670.63,3670.63,0.000%,Solution found optimally
42,"128, 151",2,4,OPTIMAL,8126.16,8126.16,0.000%,Solution found optimally
43,"32, 79, 144",3,9,OPTIMAL,7001.36,7001.36,0.000%,Solution found optimally
44,"98, 150",2,4,OPTIMAL,7000.98,7000.98,0.000%,Solution found optimally
45,"58, 197",2,4,OPTIMAL,6396.72,6396.72,0.000%,Solution found optimally
46,"129, 177",2,4,OPTIMAL,6662.58,6662.58,0.000%,Solution found optimally
47,"-1, -2, -3",3,9,OPTIMAL,6669.33,6669.33,0.000%,Solution found optimally
48,"5, 95, 171",3,9,OPTIMAL,8632.07,8632.07,0.000%,Solution found optimally
49,"-1, -2, -3",3,9,OPTIMAL,8627.17,8627.17,0.000%,Solution found optimally
50,"-1, -2, -3, -4",4,16,OPTIMAL,8459.62,8459.62,0.000%,Solution found optimally
51,"33, 113, 183",3,9,OPTIMAL,4876.90,4876.90,0.000%,Solution found optimally
52,"41, 106, 141",3,9,OPTIMAL,3967.27,3967.27,0.000%,Solution found optimally
53,"17, 125, 175",3,9,OPTIMAL,4275.69,4275.69,0.000%,Solution found optimally
54,"-1, -2, -3",3,9,OPTIMAL,3732.20,3732.20,0.000%,Solution found optimally
55,"16, 57",2,4,OPTIMAL,7694.57,7694.57,0.000%,Solution found optimally
56,"-1, -2, -3, -4",4,16,OPTIMAL,6103.17,6103.17,0.000%,Solution found optimally
57,"6, 62, 74",3,9,OPTIMAL,3828.50,3828.50,0.000%,Solution found optimally
58,"30, 126, 146",3,9,OPTIMAL,3673.33,3673.33,0.000%,Solution found optimally
59,"-1, -2, -3",3,9,OPTIMAL,3624.75,3624.75,0.000%,Solution found optimally
60,"101, 110, 187",3,9,OPTIMAL,4261.15,4261.15,0.000%,Solution found optimally
61,"-1, -2, -3, -4",4,16,OPTIMAL,4914.45,4914.45,0.000%,Solution found optimally
62,"64, 168, 199",3,9,OPTIMAL,10139.22,10139.22,0.000%,Solution found optimally
63,"20, 63, 108",3,9,OPTIMAL,10298.66,10298.66,0.000%,Solution found optimally
64,"-1, -2, -3",3,9,OPTIMAL,9955.45,9955.45,0.000%,Solution found optimally
65,"185, 198",2,4,OPTIMAL,13942.30,13942.30,0.000%,Solution found optimally
66,"-1, -2, -3, -4",4,16,OPTIMAL,13335.64,13335.64,0.000%,Solution found optimally
67,"29, 191",2,4,OPTIMAL,10408.45,10408.45,0.000%,Solution found optimally
68,"76, 140, 167",3,9,OPTIMAL,12113.62,12113.62,0.000%,Solution found optimally
69,"22, 114, 170",3,9,OPTIMAL,11926.38,11926.38,0.000%,Solution found optimally
70,"56, 94, 193",3,9,OPTIMAL,14115.74,14115.74,0.000%,Solution found optimally
71,"-1, -2, -3, -4",4,16,OPTIMAL,12649.08,12649.08,0.000%,Solution found optimally
72,"80, 180",2,4,OPTIMAL,13036.18,13036.18,0.000%,Solution found optimally
73,"9, 26, 131",3,9,OPTIMAL,5764.10,5764.10,0.000%,Solution found optimally
74,"-1, -2, -3",3,9,OPTIMAL,8231.23,8231.23,0.000%,Solution found optimally
75,"59, 176, 179",3,9,OPTIMAL,7194.19,7194.19,0.000%,Solution found optimally
76,"39, 137",2,4,OPTIMAL,6504.66,6504.66,0.000%,Solution found optimally
77,"50, 67, 135",3,9,OPTIMAL,6229.40,6229.40,0.000%,Solution found optimally
78,"-1, -2, -3",3,9,OPTIMAL,6086.69,6086.69,0.000%,Solution found optimally
79,"-1, -2, -3, -4",4,16,OPTIMAL,10220.26,10220.26,0.000%,Solution found optimally
80,"1, 25, 194",3,9,OPTIMAL,7141.66,7141.66,0.000%,Solution found optimally
81,"119, 132, 157",3,9,OPTIMAL,6370.76,6370.76,0.000%,Solution found optimally
82,"18, 19, 182",3,9,OPTIMAL,5557.23,5557.23,0.000%,Solution found optimally
83,"-1, -2, -3, -4",4,16,OPTIMAL,6645.42,6645.42,0.000%,Solution found optimally
84,"35, 192, 196",3,9,OPTIMAL,4268.04,4268.04,0.000%,Solution found optimally
85,"82, 145",2,4,OPTIMAL,3850.43,3850.43,0.000%,Solution found optimally
86,"71, 136, 159",3,9,OPTIMAL,4134.38,4134.38,0.000%,Solution found optimally
87,"-1, -2, -3",3,9,OPTIMAL,3358.53,3358.53,0.000%,Solution found optimally
88,"27, 123",2,4,OPTIMAL,4375.61,4375.61,0.000%,Solution found optimally
89,"169, 186",2,4,OPTIMAL,4343.34,4343.34,0.000%,Solution found optimally
90,"-1, -2, -3, -4",4,16,OPTIMAL,4625.82,4625.82,0.000%,Solution found optimally
91,"143, 153",2,4,OPTIMAL,935.28,935.28,0.000%,Solution found optimally
92,"21, 48, 130, 147",4,16,OPTIMAL,1400.78,1400.78,0.000%,Solution found optimally
93,"40, 77, 163",3,9,OPTIMAL,2366.10,2366.10,0.000%,Solution found optimally
94,"10, 142, 156",3,9,OPTIMAL,3999.49,3999.49,0.000%,Solution found optimally
95,"-1, -2, -3, -4",4,16,OPTIMAL,2961.27,2961.27,0.000%,Solution found optimally
96,"-4, -5, -7",3,12,OPTIMAL,11980.66,11980.66,0.000%,Solution found optimally
97,"-1, -8, -9, -15",4,20,OPTIMAL,6084.35,6084.35,0.000%,Solution found optimally
98,"-3, -6, -12",3,9,OPTIMAL,6813.89,6813.89,0.000%,Solution found optimally
99,"-1, -2, -3",3,12,OPTIMAL,8243.61,8243.61,-0.000%,Solution found optimally
100,"-13, -3, -6, -12",4,16,OPTIMAL,7427.38,7427.38,0.000%,Solution found optimally
101,"-2, -10, -11",3,9,OPTIMAL,12160.43,12160.43,0.000%,Solution found optimally

SUMMARY STATISTICS
Metric,Value,Percentage
Total Solver Calls,101,100.0%
Optimal Solutions,100,99.0%
Feasible Solutions,1,1.0%
No Valid Solution,0,0.0%
