#,Nodes,Routes,Qubits,Status,QAOA_Cost,Optimal_Cost,Gap_Pct,Description
78,"69, 197",2,4,OPTIMAL,3208.68,3208.68,0.000%,Solution found optimally
79,"7, 27, 37, 135",4,16,OPTIMAL,5228.49,5228.49,0.000%,Solution found optimally
80,"52, 189",2,4,OPTIMAL,1981.08,1981.08,0.000%,Solution found optimally
81,"31, 152",2,4,OPTIMAL,2704.30,2704.30,0.000%,Solution found optimally
82,"-1, -2, -3",3,9,OPTIMAL,3031.92,3031.92,0.000%,Solution found optimally
83,"25, 83, 109, 145",4,16,OPTIMAL,3676.65,3676.65,0.000%,Solution found optimally
84,"180, 199",2,4,OPTIMAL,792.00,792.00,0.000%,Solution found optimally
85,"-2, -4",2,4,OPTIMAL,3245.78,3245.78,0.000%,Solution found optimally
86,"-1, -3",2,4,OPTIMAL,3005.12,3005.12,0.000%,Solution found optimally
87,"-1, -2, -3",3,9,OPTIMAL,3549.47,3549.47,0.000%,Solution found optimally
88,"70, 95",2,4,OPTIMAL,4420.26,4420.26,0.000%,Solution found optimally
89,"10, 34, 62, 178",4,16,OPTIMAL,4798.68,4798.68,0.000%,Solution found optimally
90,"24, 29, 60, 128",4,16,OPTIMAL,3021.64,3021.64,0.000%,Solution found optimally
91,"6, 46",2,4,OPTIMAL,3208.55,3208.55,0.000%,Solution found optimally
92,"54, 111",2,4,OPTIMAL,3644.20,3644.20,0.000%,Solution found optimally
93,"-1, -2, -3",3,9,OPTIMAL,3445.80,3445.80,0.000%,Solution found optimally
94,"-1, -2, -3, -4",4,16,OPTIMAL,4697.63,4697.63,0.000%,Solution found optimally
95,"66, 71",2,4,OPTIMAL,7280.38,7280.38,0.000%,Solution found optimally
96,"1, 19, 21, 33",4,16,OPTIMAL,7858.68,7858.68,0.000%,Solution found optimally
97,"-1, -2, -3",3,9,OPTIMAL,7534.67,7534.67,0.000%,Solution found optimally
98,"118, 183",2,4,OPTIMAL,6502.33,6502.33,0.000%,Solution found optimally
99,"47, 75",2,4,OPTIMAL,5830.91,5830.91,0.000%,Solution found optimally
100,"12, 156",2,4,OPTIMAL,5352.24,5352.24,0.000%,Solution found optimally
101,"98, 114",2,4,OPTIMAL,5032.45,5032.45,0.000%,Solution found optimally
102,"-1, -2, -3",3,9,OPTIMAL,5321.82,5321.82,0.000%,Solution found optimally
103,"30, 59, 85",3,9,OPTIMAL,6357.85,6357.85,0.000%,Solution found optimally
104,"-1, -2, -3, -4",4,16,OPTIMAL,6899.50,6899.50,0.000%,Solution found optimally
105,"-4, -5, -7, -15",4,20,OPTIMAL,12336.56,12336.56,0.000%,Solution found optimally
106,"-1, -3, -12, -13",4,20,OPTIMAL,6124.90,6124.90,-0.000%,Solution found optimally
107,"-10, -11, -14",3,9,OPTIMAL,9338.82,9338.82,0.000%,Solution found optimally
108,"-2, -6, -8, -9",4,20,OPTIMAL,17807.06,17807.06,0.000%,Solution found optimally

SUMMARY STATISTICS
Metric,Value,Percentage
Total Solver Calls,108,100.0%
Optimal Solutions,108,100.0%
Feasible Solutions,0,0.0%
No Valid Solution,0,0.0%
